run_id,seq,side,pc,lr,module,r0,r1,r2,r3,r4,r5,r6,r7,r9,sp,payload_ptr,payload_len,payload_hex,decoded,callback_ptr,userdata,state_id,dispatcher,provider_exists,provider_module,out_written,callback_scheduled,ret,classification,note
1784644937112,1,request,0x2E239D,0x2E239D,sendAppEvent,0x10180,0x0,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x0,0,"","",0x0,0x0,0x0,"platform_send_app_event",1,"platform_userinfo",0,0,0x0,"synchronous_query","sendAppEvent_entry"
1784644937112,2,return,0x2E239D,0x2E239D,platform_userinfo,0x10180,0x0,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x682B24,256,"3836343038363034303632323834310034363030313937303733323733303200","864086040622841",0x0,0x0,0x0,"platform_userinfo_fill",1,"platform_userinfo",1,0,0x682B24,"synchronous_query","blob_returned"
1784644937112,3,request,0x2E239D,0x2E239D,sendAppEvent,0x10180,0x1,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x0,0,"","",0x0,0x0,0x0,"platform_send_app_event",1,"platform_userinfo",0,0,0x0,"synchronous_query","sendAppEvent_entry"
1784644937112,4,return,0x2E239D,0x2E239D,platform_userinfo,0x10180,0x1,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x682B24,256,"3836343038363034303632323834310034363030313937303733323733303200","864086040622841",0x0,0x0,0x1,"platform_userinfo_fill",1,"platform_userinfo",1,0,0x682B24,"synchronous_query","blob_returned"
1784644937112,5,request,0x2E239D,0x2E239D,sendAppEvent,0x10180,0x5,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x0,0,"","",0x0,0x0,0x0,"platform_send_app_event",1,"platform_userinfo",0,0,0x0,"synchronous_query","sendAppEvent_entry"
1784644937112,6,return,0x2E239D,0x2E239D,platform_userinfo,0x10180,0x5,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x682B24,256,"3836343038363034303632323834310034363030313937303733323733303200","864086040622841",0x0,0x0,0x5,"platform_userinfo_fill",1,"platform_userinfo",1,0,0x682B24,"synchronous_query","blob_returned"
1784644937112,7,request,0x2E239D,0x2E239D,sendAppEvent,0x10180,0xA,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x0,0,"","",0x0,0x0,0x0,"platform_send_app_event",1,"platform_userinfo",0,0,0x0,"synchronous_query","sendAppEvent_entry"
1784644937112,8,return,0x2E239D,0x2E239D,platform_userinfo,0x10180,0xA,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x682B24,256,"3836343038363034303632323834310034363030313937303733323733303200","864086040622841",0x0,0x0,0xA,"platform_userinfo_fill",1,"platform_userinfo",1,0,0x682B24,"synchronous_query","blob_returned"
1784644937112,9,request,0x2E239D,0x2E239D,sendAppEvent,0x10180,0xC,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x0,0,"","",0x0,0x0,0x0,"platform_send_app_event",1,"platform_userinfo",0,0,0x0,"synchronous_query","sendAppEvent_entry"
1784644937112,10,return,0x2E239D,0x2E239D,platform_userinfo,0x10180,0xC,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x682B24,256,"3836343038363034303632323834310034363030313937303733323733303200","864086040622841",0x0,0x0,0xC,"platform_userinfo_fill",1,"platform_userinfo",1,0,0x682B24,"synchronous_query","blob_returned"
1784644937112,11,request,0x2E239D,0x2E239D,sendAppEvent,0x10180,0x3,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x0,0,"","",0x0,0x0,0x0,"platform_send_app_event",1,"platform_userinfo",0,0,0x0,"synchronous_query","sendAppEvent_entry"
1784644937112,12,return,0x2E239D,0x2E239D,platform_userinfo,0x10180,0x3,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x682B24,256,"0400343038363034303632323834310034363030313937303733323733303200","",0x0,0x0,0x3,"platform_userinfo_fill",1,"platform_userinfo",1,0,0x682B24,"synchronous_query","blob_returned"
1784644937112,13,request,0x2E239D,0x2E239D,sendAppEvent,0x10180,0x4,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x0,0,"","",0x0,0x0,0x0,"platform_send_app_event",1,"platform_userinfo",0,0,0x0,"synchronous_query","sendAppEvent_entry"
1784644937112,14,return,0x2E239D,0x2E239D,platform_userinfo,0x10180,0x4,0x0,0x0,0x10180,0x0,0x0,0x0,0x0,0x0,0x682B24,256,"0400343038363034303632323834310034363030313937303733323733303200","",0x0,0x0,0x4,"platform_userinfo_fill",1,"platform_userinfo",1,0,0x682B24,"synchronous_query","blob_returned"
