seq,pc,off,addr,size,old,new,phase
1,0x974C8,0x174C8,0x27F990,4,0x2AC9E4,0x2A8264,other
2,0x974C8,0x174C8,0x27F994,4,0x0,0x2020059,other
3,0x974C8,0x174C8,0x27F998,4,0x2A83C4,0x2ADF7C,other
4,0x974C8,0x174C8,0x27F99C,4,0x9D098,0x9D0E0,other
5,0x97548,0x17548,0x2A8278,4,0x2A84E4,0x2A84CC,other
6,0x97554,0x17554,0x2A8270,4,0x2AC9EC,0x2AC9D4,other
7,0x975B4,0x175B4,0x2A826C,4,0x2ACA14,0x2AC9E4,other
8,0x9D0EC,0x1D0EC,0x2A826C,4,0x2AC9E4,0x2ACA1C,other
9,0x9C410,0x1C410,0x27F9AC,4,0x2AF8F8,0x2AF8FC,op14
10,0x9CD58,0x1CD58,0x27F9AC,4,0x2AF8FC,0x2AF904,op14
11,0x9C410,0x1C410,0x27F9AC,4,0x2AF904,0x2AF908,op1b
12,0x9D1E4,0x1D1E4,0x2A826C,4,0x2ACA1C,0x2AC9D4,op1b
13,0x9D204,0x1D204,0x2A84D4,4,0x2,0x8,op1b
14,0x9D210,0x1D210,0x2A84D8,4,0x2AF868,0x2AF908,op1b
15,0x974C8,0x174C8,0x27F9C0,4,0x0,0x2A8264,other
16,0x974C8,0x174C8,0x27F9C4,4,0x1,0x2A839C,other
17,0x974C8,0x174C8,0x27F9C8,4,0x0,0xFFFFFFFF,other
18,0x974C8,0x174C8,0x27F9CC,4,0x972BC,0x972CC,other
19,0x97548,0x17548,0x2A8278,4,0x2A84CC,0x2A84B4,other
20,0x97554,0x17554,0x2A8270,4,0x2AC9D4,0x2AC984,other
21,0x975B4,0x175B4,0x2A826C,4,0x2AC9D4,0x2AC9CC,other
22,0x972D4,0x172D4,0x2A8292,2,0x1000001,0x0,other
23,0x97A58,0x17A58,0x2A82B4,4,0x27F9E0,0x0,other
24,0x974BC,0x174BC,0x2A82B8,4,0x0,0x0,other
25,0xA24FC,0x224FC,0x27FAC0,4,0x282380,0xAE468,other
26,0xA24FC,0x224FC,0x27FAC4,4,0xA4B94,0x3BBE08,other
27,0xA24FC,0x224FC,0x27FAC8,4,0x280600,0xFFFFFFFE,other
28,0xA24FC,0x224FC,0x27FACC,4,0x8C740,0x2AEBA4,other
29,0xA2500,0x22500,0x27FAB8,4,0x2AEBA4,0x280600,other
30,0xA2500,0x22500,0x27FABC,4,0x0,0x8C79C,other
31,0xA250C,0x2250C,0x27F8B4,4,0x1,0x27FAC4,other
32,0xACF48,0x2CF48,0x27F8A8,4,0xADEF4,0x27F8B4,other
33,0xACF48,0x2CF48,0x27F8AC,4,0x2ACA04,0xA2528,other
34,0xACF4C,0x2CF4C,0x27F8A8,4,0x27F8B4,0x27F8B4,other
35,0x8E908,0xE908,0x27F888,4,0x0,0x27F8B8,other
36,0x8E908,0xE908,0x27F88C,4,0x2AD96C,0x282380,other
