offset_hex,ref,status,hit
0x3A5C8,default.mrp,HIT,gwy/jjfbol/default.mrp
0x3A5D4,default2.mrp,HIT,gwy/jjfbol/default2.mrp
0x3A5E4,default3.mrp,HIT,gwy/jjfbol/default3.mrp
0x3A5F4,jiantou_x!12!10.bmp,HIT,jjfb.mrp:jiantou_x!12!10.bmp
0x3A608,jiantou_t!12!10.bmp,HIT,jjfb.mrp:jiantou_t!12!10.bmp
0x3A61C,jiantou!12!15.bmp,HIT,jjfb.mrp:jiantou!12!15.bmp
0x3A630,wy_jiao5!11!11.bmp,HIT,jjfb.mrp:wy_jiao5!11!11.bmp
0x3A644,wy_xian3!15!5.bmp,HIT,jjfb.mrp:wy_xian3!15!5.bmp
0x3A658,wy_jiao32!10!10.bmp,HIT,jjfb.mrp:wy_jiao32!10!10.bmp
0x3A66C,wy_jiao3!10!10.bmp,HIT,jjfb.mrp:wy_jiao3!10!10.bmp
0x3A680,wy_xian2!15!5.bmp,HIT,jjfb.mrp:wy_xian2!15!5.bmp
0x3A694,wy_jiao22!10!10.bmp,HIT,jjfb.mrp:wy_jiao22!10!10.bmp
0x3A6A8,wy_jiao2!10!10.bmp,HIT,jjfb.mrp:wy_jiao2!10!10.bmp
0x3A6BC,wy_xian0!15!6.bmp,HIT,jjfb.mrp:wy_xian0!15!6.bmp
0x3A6D0,wy_jiao02!10!10.bmp,HIT,jjfb.mrp:wy_jiao02!10!10.bmp
0x3A6E4,wy_jiao0!10!10.bmp,HIT,jjfb.mrp:wy_jiao0!10!10.bmp
0x3A6F8,wy_xian1!15!7.bmp,HIT,jjfb.mrp:wy_xian1!15!7.bmp
0x3A70C,wy_jiao12!11!11.bmp,HIT,jjfb.mrp:wy_jiao12!11!11.bmp
0x3A720,wy_jiao1!11!11.bmp,HIT,jjfb.mrp:wy_jiao1!11!11.bmp
0x3A73C,face!120!12.bmp,HIT,default.mrp:face!120!12.bmp
0x3A7A0,boygirl!40!15.bmp,HIT,default.mrp:boygirl!40!15.bmp
0x3A7B4,star!8!8.bmp,HIT,default2.mrp:star!8!8.bmp
0x3A7C4,keypress!28!21.bmp,HIT,default.mrp:keypress!28!21.bmp
0x3A7D8,e!7!9.bmp,HIT,default.mrp:e!7!9.bmp
0x3A7E4,finger!14!12.bmp,HIT,default.mrp:finger!14!12.bmp
0x3A7F8,vip!34!12.bmp,HIT,default3.mrp:vip!34!12.bmp
0x3A808,downArrow!14!9.bmp,HIT,default.mrp:downarrow!14!9.bmp
0x3A81C,updown!28!8.bmp,HIT,default2.mrp:updown!28!8.bmp
0x3A82C,upArrow!14!9.bmp,HIT,default2.mrp:uparrow!14!9.bmp
0x3A840,money!5!10.bmp,HIT,default2.mrp:money!5!10.bmp
0x3A850,lrarrow!16!14.bmp,HIT,default.mrp:lrarrow!16!14.bmp
0x3A864,chilunbar!23!23.bmp,HIT,default3.mrp:chilunbar!23!23.bmp
0x3A878,icon1!100!25.bmp,HIT,default.mrp:icon1!100!25.bmp
0x3A88C,buttons!36!12.bmp,HIT,default.mrp:buttons!36!12.bmp
0x3A8A0,bighand!25!25.bmp,HIT,default.mrp:bighand!25!25.bmp
0x3A8B4,topright!12!4.bmp,HIT,default2.mrp:topright!12!4.bmp
0x3A8C8,topleft!15!5.bmp,HIT,default2.mrp:topleft!15!5.bmp
0x3A8EC,textbar!120!30.bmp,HIT,jjfb.mrp:textbar!120!30.bmp
0x3A900,bar!16!18.bmp,HIT,jjfb.mrp:bar!16!18.bmp
0x3A910,loadingbar!201!29.bmp,HIT,jjfb.mrp:loadingbar!201!29.bmp
0x3A928,gunModel!47!28.bmp,HIT,default.mrp:gunmodel!47!28.bmp
0x3A93C,wingModel!72!41.bmp,HIT,default2.mrp:wingmodel!72!41.bmp
0x3A950,weaponModel!41!42.bmp,HIT,default2.mrp:weaponmodel!41!42.bmp
0x3A968,dongModel!28!48.bmp,HIT,default.mrp:dongmodel!28!48.bmp
0x3AC40,dir!100!100@vmimage.bmp,HIT,gwy/jjfbol/vmimage.mrp; vmimage.mrp:dir!100!100@vmimage.bmp
0x3AC58,vmleft!57!36@vmimage.bmp,HIT,gwy/jjfbol/vmimage.mrp; vmimage.mrp:vmleft!57!36@vmimage.bmp
0x3AC74,vmright!57!36@vmimage.bmp,HIT,gwy/jjfbol/vmimage.mrp; vmimage.mrp:vmright!57!36@vmimage.bmp
0x3AC90,taskbutton!57!36@vmimage.bmp,HIT,gwy/jjfbol/vmimage.mrp; vmimage.mrp:taskbutton!57!36@vmimage.bmp
0x3AECC,downVersion,HIT,gwy/jjfbol/downVersion
0x3B4F0,slogo!157!58.bmp,HIT,jjfb.mrp:slogo!157!58.bmp
0x3B754,zuobiao!60!8.bmp,HIT,default2.mrp:zuobiao!60!8.bmp
0x3B768,dirarrow!13!12.bmp,HIT,jjfb.mrp:dirarrow!13!12.bmp
0x3B77C,target.ani,HIT,jjfb.mrp:target.ani
0x3B788,monstersheji!48!16.bmp,HIT,default3.mrp:monstersheji!48!16.bmp
0x3B7A0,monsterquanneng!48!16.bmp,HIT,default3.mrp:monsterquanneng!48!16.bmp
0x3B7BC,monstergedou!48!16.bmp,HIT,default3.mrp:monstergedou!48!16.bmp
0x3B7D4,ownerChat.ani,HIT,default2.mrp:ownerchat.ani
0x3B7E4,sysinfo.ani,HIT,default2.mrp:sysinfo.ani
0x3B7F0,fasticon!112!16.bmp,HIT,default.mrp:fasticon!112!16.bmp
0x3B804,cheng!8!8.bmp,HIT,default.mrp:cheng!8!8.bmp
