source_file,string_or_record,pack_name,referenced_resource,version_or_appid,relation,candidate_event_code
game_files/mythroad/320x480/gwy/jjfb.mrp,mrp_header appid= appver= members=50,jjfb,,appid=;appver=,side_pack,
game_files/mythroad/320x480/gwy/jjfb.mrp,start.mr,jjfb,start.mr,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp::start.mr,pack,,,,side_pack,
game_files/mythroad/320x480/gwy/jjfb.mrp::start.mr,unpack,,,,side_pack,
game_files/mythroad/320x480/gwy/jjfb.mrp,mrc_loader.ext,jjfb,mrc_loader.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,bigworldmapmodule.ext,jjfb,bigworldmapmodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,mainmenumodule.ext,jjfb,mainmenumodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,mailmodule.ext,jjfb,mailmodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,moduletest.ext,jjfb,moduletest.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,chatmodule.ext,jjfb,chatmodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,gezimodule.ext,jjfb,gezimodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,taobaomodule.ext,jjfb,taobaomodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,gameattackmodule.ext,jjfb,gameattackmodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,monsterstatemodule.ext,jjfb,monsterstatemodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,itembagshopmodule.ext,jjfb,itembagshopmodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,viewmanmodule.ext,jjfb,viewmanmodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,betmodule.ext,jjfb,betmodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,monstermodule.ext,jjfb,monstermodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,leitaimodule.ext,jjfb,leitaimodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,reg.ext,jjfb,reg.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,lianmengmodule.ext,jjfb,lianmengmodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,othermodule.ext,jjfb,othermodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,robotol.ext,jjfb,robotol.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,shopmodule.ext,jjfb,shopmodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfb.mrp,itemhechengmodule.ext,jjfb,itemhechengmodule.ext,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfbol/downimage1.mrp,mrp_header appid= appver= members=2,downimage1,,appid=;appver=,splash_pack,
game_files/mythroad/320x480/gwy/jjfbol/downimage1.mrp,start.mr,downimage1,start.mr,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfbol/downimage1.mrp::start.mr,pack,,,,side_pack,
game_files/mythroad/320x480/gwy/jjfbol/downimage1.mrp,show1!232!100@downimage1.bmp,downimage1,show1!232!100@downimage1.bmp,appid=;appver=,splash_pack,
game_files/mythroad/320x480/gwy/jjfbol/downimage2.mrp,mrp_header appid= appver= members=2,downimage2,,appid=;appver=,splash_pack,
game_files/mythroad/320x480/gwy/jjfbol/downimage2.mrp,start.mr,downimage2,start.mr,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfbol/downimage2.mrp::start.mr,pack,,,,side_pack,
game_files/mythroad/320x480/gwy/jjfbol/downimage2.mrp,show2!232!100@downimage2.bmp,downimage2,show2!232!100@downimage2.bmp,appid=;appver=,splash_pack,
game_files/mythroad/320x480/gwy/jjfbol/downimage3.mrp,mrp_header appid= appver= members=2,downimage3,,appid=;appver=,splash_pack,
game_files/mythroad/320x480/gwy/jjfbol/downimage3.mrp,start.mr,downimage3,start.mr,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfbol/downimage3.mrp::start.mr,pack,,,,side_pack,
game_files/mythroad/320x480/gwy/jjfbol/downimage3.mrp,show3!232!100@downimage3.bmp,downimage3,show3!232!100@downimage3.bmp,appid=;appver=,splash_pack,
game_files/mythroad/320x480/gwy/jjfbol/attack.mrp,mrp_header appid= appver= members=13,attack,,appid=;appver=,side_pack,
game_files/mythroad/320x480/gwy/jjfbol/attack.mrp,start.mr,attack,start.mr,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfbol/attack.mrp::start.mr,pack,,,,side_pack,
game_files/mythroad/320x480/gwy/jjfbol/bigWorldMap.mrp,mrp_header appid= appver= members=2,bigWorldMap,,appid=;appver=,side_pack,
game_files/mythroad/320x480/gwy/jjfbol/bigWorldMap.mrp,start.mr,bigWorldMap,start.mr,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfbol/bigWorldMap.mrp::start.mr,pack,,,,side_pack,
game_files/mythroad/320x480/gwy/jjfbol/bmm1.mrp,mrp_header appid= appver= members=2,bmm1,,appid=;appver=,side_pack,
game_files/mythroad/320x480/gwy/jjfbol/bmm1.mrp,start.mr,bmm1,start.mr,appid=;appver=,unknown,
game_files/mythroad/320x480/gwy/jjfbol/bmm1.mrp::start.mr,pack,,,,side_pack,
